CodigoMunicipio,NombreMunicipio
070000150037,Huixquilucan
070000150038,Isidro Fabela
070000150039,Ixtapaluca
070000150040,Ixtapan de la Sal
070000150041,Ixtapan del Oro
070000150042,Ixtlahuaca
070000150043,Xalatlaco
070000150044,Jaltenco
070000150045,Jilotepec
070000150046,Jilotzingo
070000150047,Jiquipilco
070000150048,Jocotitlán
070000150049,Joquicingo
070000150050,Juchitepec
070000150051,Lerma
070000150052,Malinalco
070000150053,Melchor Ocampo
070000150054,Metepec
070000150055,Mexicaltzingo
070000150056,Morelos
070000150057,Naucalpan de Juárez
070000150058,Nezahualcóyotl
070000150059,Nextlalpan
070000150060,Nicolás Romero
070000150061,Nopaltepec
070000150062,Ocoyoacac
070000150063,Ocuilan
070000150064,El Oro
070000150065,Otumba
070000150066,Otzoloapan
070000150067,Otzolotepec
070000150068,Ozumba
070000150069,Papalotla
070000150070,La Paz
070000150071,Polotitlán
070000150072,Rayón
070000150073,San Antonio la Isla
070000150074,San Felipe del Progreso
070000150075,San Martín de las Pirámides
070000150076,San Mateo Atenco
070000150077,San Simón de Guerrero
070000150078,Santo Tomás
070000150079,Soyaniquilpan de Juárez
070000150080,Sultepec
070000150081,Tecámac
070000150082,Tejupilco
070000150083,Temamatla
070000150084,Temascalapa
070000150085,Temascalcingo
070000150086,Temascaltepec
070000150087,Temoaya
070000150088,Tenancingo
070000150089,Tenango del Aire
070000150090,Tenango del Valle
070000150091,Teoloyucan
070000150092,Teotihuacán
070000150093,Tepetlaoxtoc
070000150094,Tepetlixpa
070000150095,Tepotzotlán
070000150096,Tequixquiac
070000150097,Texcaltitlán
070000150098,Texcalyacac
070000150099,Texcoco
070000150100,Tezoyuca
070000150101,Tianguistenco
070000150102,Timilpan
070000150103,Tlalmanalco
070000150104,Tlalnepantla de Baz
070000150105,Tlatlaya
070000150106,Toluca
070000150107,Tonatico
070000150108,Tultepec
070000150109,Tultitlán
070000150110,Valle de Bravo
070000150111,Villa de Allende
070000150112,Villa del Carbón
070000150113,Villa Guerrero
070000150114,Villa Victoria
070000150115,Xonacatlán
070000150116,Zacazonapan
070000150117,Zacualpan
070000150118,Zinacantepec
070000150119,Zumpahuacán
070000150120,Zumpango
070000150121,Cuautitlán Izcalli
070000150122,Valle de Chalco Solidaridad
070000150123,Luvianos
070000150124,San José del Rincón
070000150125,Tonanitla
070000150996,No especificado
070000150997,Otros estados
070000150998,Otros municipios
070000150999,Resto de municipios
07000016,Michoacán de Ocampo
070000160001,Acuitzio
070000160002,Aguililla
070000160003,Álvaro Obregón
070000160004,Angamacutiro
070000160005,Angangueo
